OID_,YEAR,PRIMARY_SAMPLE_UNIT,ADMIN,PROT,MAPGRID_NR,STRAT,DEPTH_STRAT,lat,lon,NoTake
214,2025,4323,EEMP,0,336181,PTRFDEEP,DEEP,17.768180000000001,-64.612170000000006,0
215,2025,4330,BUIS,0,408785,PTRFSHLW,SHLW,17.797870000000000,-64.610789999999994,0
216,2025,4332,BUIS,0,388967,PTRFSHLW,SHLW,17.789650000000002,-64.618939999999995,0
217,2025,4333,BUIS,0,410975,AGRFSHLW,SHLW,17.798929999999999,-64.615480000000005,0
218,2025,4334,BUIS,0,404347,AGRFSHLW,SHLW,17.796160000000000,-64.628619999999998,0
219,2025,4336,BUIS,0,406589,PVMTSHLW,SHLW,17.797120000000000,-64.608930000000001,0
220,2025,4338,EEMP,0,327428,PTRFSHLW,SHLW,17.764790000000001,-64.590239999999994,0
221,2025,4341,OPEN,0,72796,AGRFSHLW,SHLW,17.658010000000001,-64.840029999999999,0
222,2025,4343,OPEN,0,77239,PTRFSHLW,SHLW,17.660399999999999,-64.819699999999997,0
223,2025,4344,BUIS,0,435134,PVMTDEEP,DEEP,17.808800000000002,-64.634770000000003,0
224,2025,4345,BUIS,0,409939,AGRFDEEP,DEEP,17.798719999999999,-64.585269999999994,0
225,2025,4346,BUIS,0,427479,PVMTDEEP,DEEP,17.805869999999999,-64.613380000000006,0
226,2025,4347,BUIS,0,431875,AGRFDEEP,DEEP,17.807410000000001,-64.615420000000000,0
227,2025,4349,BUIS,0,435145,AGRFDEEP,DEEP,17.808759999999999,-64.629859999999994,0
228,2025,4350,BUIS,0,371378,PTRFDEEP,DEEP,17.782660000000000,-64.613950000000003,0
229,2025,4351,BUIS,0,423026,AGRFDEEP,DEEP,17.803889999999999,-64.638639999999995,0
230,2025,4353,BUIS,0,430735,PVMTDEEP,DEEP,17.806799999999999,-64.634360000000001,0
231,2025,4354,BUIS,0,402260,PVMTDEEP,DEEP,17.795670000000001,-64.575479999999999,0
232,2025,4355,BUIS,0,423101,AGRFDEEP,DEEP,17.804089999999999,-64.603409999999997,0
233,2025,4357,BUIS,0,436244,PVMTDEEP,DEEP,17.809220000000000,-64.630030000000005,0
234,2025,4358,BUIS,0,404321,SCRDEEP,DEEP,17.796040000000001,-64.640829999999994,0
235,2025,4359,BUIS,0,414325,PVMTDEEP,DEEP,17.800470000000001,-64.591989999999996,0
236,2025,4360,BUIS,0,372486,PTRFDEEP,DEEP,17.783110000000001,-64.609909999999999,0
237,2025,4361,BUIS,0,407753,PVMTDEEP,DEEP,17.797870000000000,-64.578659999999999,0
238,2025,4364,EEMP,0,386889,AGRFDEEP,DEEP,17.789290000000001,-64.561679999999996,0
239,2025,4366,EEMP,0,402310,PVMTDEEP,DEEP,17.795950000000001,-64.551500000000004,0
240,2025,4367,EEMP,0,414421,PVMTDEEP,DEEP,17.800989999999999,-64.546800000000005,0
241,2025,4381,EEMP,0,412226,PVMTDEEP,DEEP,17.799949999999999,-64.544380000000004,0
242,2025,4383,EEMP,0,349501,PVMTDEEP,DEEP,17.774290000000001,-64.555679999999995,0
243,2025,4385,EEMP,0,357168,PVMTDEEP,DEEP,17.777170000000002,-64.571529999999996,0
244,2025,4397,OPEN,0,397972,AGRFDEEP,DEEP,17.794329999999999,-64.522459999999995,0
245,2025,4402,OPEN,0,416643,PVMTDEEP,DEEP,17.801680000000001,-64.536360000000002,0
