"YEAR","PRIMARY_SAMPLE_UNIT","ADMIN","PROT","MAPGRID_NR","STRAT","DEPTH_STRAT","lat","lon"
2025,4358,"BUIS",0,404321,"SCRDEEP","DEEP",17.79604,-64.64083
2025,4359,"BUIS",0,414325,"PVMTDEEP","DEEP",17.80047,-64.59199
2025,4360,"BUIS",0,372486,"PTRFDEEP","DEEP",17.78311,-64.60991
2025,4361,"BUIS",0,407753,"PVMTDEEP","DEEP",17.79787,-64.57866
2025,4364,"EEMP",0,386889,"AGRFDEEP","DEEP",17.78929,-64.56168
2025,4366,"EEMP",0,402310,"PVMTDEEP","DEEP",17.79595,-64.5515
2025,4367,"EEMP",0,414421,"PVMTDEEP","DEEP",17.80099,-64.5468
2025,4381,"EEMP",0,412226,"PVMTDEEP","DEEP",17.79995,-64.54438
2025,4383,"EEMP",0,349501,"PVMTDEEP","DEEP",17.77429,-64.55568
2025,4385,"EEMP",0,357168,"PVMTDEEP","DEEP",17.77717,-64.57153
2025,4397,"OPEN",0,397972,"AGRFDEEP","DEEP",17.79433,-64.52246
2025,4402,"OPEN",0,416643,"PVMTDEEP","DEEP",17.80168,-64.53636
2025,4424,"OPEN",0,37467,"AGRFDEEP","DEEP",17.64313,-64.90055
2025,4431,"BUIS",0,385694,"PTRFDEEP","DEEP",17.78853,-64.60642
2025,4434,"OPEN",0,50773,"PVMTDEEP","DEEP",17.64917,-64.85085
2025,4435,"BUIS",0,383529,"AGRFSHLW","SHLW",17.78794,-64.58997
2025,4436,"BUIS",0,369235,"AGRFSHLW","SHLW",17.78192,-64.58713
2025,4438,"BUIS",0,385723,"AGRFSHLW","SHLW",17.78868,-64.5929
2025,4440,"BUIS",0,404432,"PVMTSHLW","SHLW",17.79644,-64.58866
2025,4442,"BUIS",0,365817,"PVMTSHLW","SHLW",17.78025,-64.64243
2025,4443,"BUIS",0,402197,"AGRFSHLW","SHLW",17.7954,-64.60504
2025,4451,"OPEN",0,350343,"PVMTSHLW","SHLW",17.77356,-64.67766
2025,4467,"BUIS",0,378036,"PTRFDEEP","DEEP",17.78566,-64.58632
2025,4471,"BUIS",0,365823,"SCRDEEP","DEEP",17.78027,-64.63996
2025,4472,"EEMP",0,339566,"SCRDEEP","DEEP",17.76976,-64.57245
2025,4473,"EEMP",0,352749,"PTRFDEEP","DEEP",17.77517,-64.58054
2025,4475,"EEMP",0,348349,"SCRDEEP","DEEP",17.77353,-64.58033
2025,4477,"EEMP",0,336252,"AGRFDEEP","DEEP",17.76831,-64.57894
